Autor,Obra (Título),Notas/Descrição
"McCann Jr., Frank D.",O Brasil e a Segunda Guerra Mundial,Uma análise detalhada das complexas relações diplomáticas e militares do Brasil durante a guerra.
PESQUISA,Carta Testamento de Getúlio Vargas,Ler na íntegra. É um exercício fundamental de análise de discurso político e de propaganda.
Lira Neto,Getúlio (Volume 3): Da volta ao poder pela voto popular ao suicídio,O volume final da trilogia narra em detalhe a crise final do governo Vargas e os eventos que levaram ao seu suicídio.
"Holston, James",The Modernist City: An Anthropological Critique of Brasília,"Uma análise crítica fundamental sobre como o plano utópico de Brasília falhou em criar uma verdadeira vida cívica e, em vez disso, aprofundou a segregação."
PESQUISA,"Arquitetura da Segregação (documentário, 2011)",Um filme que explora as consequências sociais do urbanismo de Brasília.
Lira Neto,JK: O Artista do Impossível,"A biografia detalha o projeto de Brasília, as suas motivações políticas e os enormes custos financeiros e sociais da sua construção."
"Schwarcz, Lilia Moritz; Starling, Heloisa M.",Brasil: Uma Biografia,Oferece um bom contexto do período desenvolvimentista e da atmosfera cultural da era JK.
"Niemeyer, Oscar",Conversa de Arquiteto,"Nas suas próprias memórias, Niemeyer deixa clara a sua visão de mundo comunista e a sua intenção de expressá-la na sua arquitetura."
"Wolfe, Tom",De Bauhaus à Nossa Casa (From Bauhaus to Our House),"Essencial para entender as raízes europeias do movimento modernista na arquitetura, o seu desprezo pelo passado e a sua arrogância ideológica."
"Edmundo, Luís",O Rio de Janeiro do Meu Tempo,"Uma crônica nostálgica que permite sentir, por contraste, a beleza e a ordem da capital imperial que foi perdida."
"Kirk, Russell",A Mente Cauterizada,"Kirk argumenta que uma sociedade que perde a sua reverência pelo passado e pelos seus ""heróis permanentes"" perde a sua própria alma."
"Debord, Guy",A Sociedade do Espetáculo,"Uma crítica filosófica sobre como a vida moderna se torna uma representação, e como as personalidades (políticos, celebridades) são transformadas em mercadorias e ídolos."
"Freedberg, David",The Power of Images: Studies in the History and Theory of Response,Um estudo sobre como as imagens e os monumentos são usados para evocar emoções e moldar a percepção pública.
PESQUISA (Obra coletiva),"O Livro Negro do Comunismo: Crimes, Terror e Repressão","Um documento essencial para entender o significado real do símbolo da foice e do martelo, não como um ideal de ""justiça social"", mas como o emblema de regimes genocidas."
"Botton, Alain de",A Arquitetura da Felicidade,Um ensaio filosófico que explora como os edifícios e os monumentos que nos rodeiam afetam o nosso humor e a nossa alma...
"Rosenn, Keith S.",Comparative Constitutional Law,Para uma análise técnica e comparativa que ajuda a entender a singularidade (e os problemas) da constituição brasileira em relação a outras do mundo.
"O'Dwyer, Conor","Brazil's Constitutional Dilemma: States' Rights, Social Justice, and the Challenge of Governance",Explora a tensão entre as promessas de direitos sociais da Constituição e a capacidade do Estado de as entregar.
"Sorj, Bernardo (org.)",A Constituição de 1988 na Vida Brasileira,Uma coletânea de ensaios que analisam o impacto da Constituição em diversas áreas da sociedade.
PESQUISA,Comparar o Artigo 5º da CF/88 com a Bill of Rights americana,"Observe a diferença de filosofia: uma lista extensa de direitos ""concedidos"" pelo Estado versus uma lista curta de proibições ao Estado."
"Hamilton, Alexander; Madison, James; Jay, John",Os Artigos Federalistas,Os ensaios que defenderam a ratificação da Constituição americana são uma aula sobre a desconfiança dos Fundadores em relação ao poder concentrado.
"Quintela, Flávio; Barbosa, Bene",Mentiram para Mim sobre o Desarmamento,"Um livro que desmente, com dados e fatos, os mitos usados para defender o Estatuto do Desarmamento no Brasil."
"Peralva, Osvaldo",O Retrato: O Comunismo no Brasil,"Escrito por um ex-membro do Partido Comunista, o livro é um relato devastador, visto por dentro, sobre os métodos, as traições e a submissão a Moscou do movimento comunista no Brasil."
"Carvalho, Olavo de",A Revolução das Tesouras (artigo),Detalha a estratégia leninista de usar tanto a força quanto a infiltração política para alcançar os seus objetivos.
PESQUISA,O teatro das tesouras (Documentário do Brasil Paralelo),Documentário (...) disponível no YouTube.
"Hamilton, Alexander; Madison, James; Jay, John",Os Artigos Federalistas,Os ensaios que defenderam a ratificação da Constituição americana são uma aula sobre a desconfiança dos Fundadores em relação ao poder concentrado e a necessidade de um povo vigilante.
"Bastiat, Frédéric",A Lei,"Um ensaio clássico que define a lei como a organização do direito natural de legítima defesa, e a sua perversão quando usada para violar a vida, a liberdade e a propriedade."
"Tocqueville, Alexis de",Democracia na América,"O observador francês notou, já no início do século XIX, como a cultura americana de autogoverno e de associação voluntária (a ""milícia"" em sentido cívico) era a base da sua liberdade."
"Halbrook, Stephen P.",The Founders' Second Amendment,"Uma análise histórica detalhada que prova, com base nos escritos dos próprios Fundadores, que a intenção da Segunda Emenda era garantir um direito individual."
PESQUISA,Artigo 179 da Constituição de 1824,Ler (...) na íntegra. É uma peça de clareza e de defesa da liberdade individual que envergonha a nossa constituição atual.
"Carvalho, José Murilo de",A Construção da Ordem: A Elite Política Imperial,"Mostra como o sistema imperial, com as suas complexas engrenagens (Poder Moderador, Conselho de Estado), buscava a estabilidade e a proteção contra os radicalismos."
"Quintela, Flávio; Barbosa, Bene",Mentiram para Mim sobre o Desarmamento,"O livro que se tornou a principal referência no Brasil para desmentir, com dados e fatos, cada um dos mitos usados para defender o Estatuto do Desarmamento."
"Rand, Ayn",A Revolta de Atlas,"A obra de ficção explora o que acontece quando o Estado, em nome do ""bem comum"", começa a esmagar os direitos individuais..."
"Miłosz, Czesław",A Mente Cativada,"Um ensaio brilhante de um prêmio Nobel que escapou do comunismo, descrevendo a psicologia da submissão intelectual a uma ideologia totalitária."
"Carvalho, Olavo de",A Nova Era e a Revolução Cultural,"Uma análise de como movimentos aparentemente díspares (ambientalismo, globalismo, etc.) convergem para um projeto de poder que visa dissolver a civilização ocidental."
"Chesterton, G. K.",O Homem que Aprendeu o Brasil (Nota: Título fictício),"Não, Chesterton não escreveu este livro. Mas ler qualquer obra dele (como Ortodoxia ou O Homem Eterno) é ter um vislumbre do que é uma verdadeira intelectualidade racional..."
"Carvalho, Olavo de",O Mínimo que Você Precisa Saber para não Ser um Idiota,Uma coletânea de artigos que serve como uma porta de entrada para o pensamento do filósofo e um treinamento de choque contra a imbecilidade coletiva.
PESQUISA,Vida e obra de Mario Ferreira dos Santos,Descobrir a sua existência é o primeiro passo para sair da caverna.
"Scruton, Roger",Why Beauty Matters? (Por que a Beleza Importa?),Reveja o documentário com este novo olhar. A crítica de Scruton à arquitetura moderna aplica-se perfeitamente ao contraste entre a nossa herança colonial e a degradação atual.
"Oliveira, Myriam Andrade Ribeiro de",Guia da Arquitetura Barroca em Minas Gerais,"Um livro para apreciar, com conhecimento de causa, a riqueza e a teologia por trás da nossa maior herança artística."
"Chesterton, G. K.",Introdução a São Tomás de Aquino,"A melhor porta de entrada para entender não apenas as ideias, mas a mentalidade de São Tomás e da era escolástica. Chesterton mostra como a lógica tomista está enraizada no mais puro senso comum."
"Gilson, Étienne",A Filosofia na Idade Média,"Uma obra de referência de um dos maiores historiadores da filosofia, que mapeia todo o desenvolvimento do pensamento escolástico."
"Adler, Mortimer; Van Doren, Charles",Como Ler Livros,"O manual definitivo que mostra o que a verdadeira educação deveria ensinar: não apenas a ler, mas a entender, a analisar e a criticar."
"Giuliano, Thomas",Pátria Educadora em Crise,Um livro contemporâneo que analisa a devastação causada pela pedagogia de Paulo Freire e seus seguidores na educação brasileira.
"Freire, Paulo",Pedagogia do Oprimido,"É preciso ler a obra original para entender a sua base marxista, a sua visão da educação como ""ato político"" e a sua linguagem de luta de classes."
"Sandel, Michael",A Tirania do Mérito,"Embora de um autor com visão diferente, o livro ajuda a entender o debate moderno sobre a meritocracia, que é o alvo principal de pedagogias como a de Freire."
Irmã Miriam Joseph,"O Trivium: As Artes Liberais da Lógica, Gramática e Retórica","A introdução do livro, de onde vem a citação sobre Comenius, é uma defesa poderosa da educação clássica contra a didática universal moderna."
PESQUISA,Relatórios e metas educacionais da UNESCO,"Leia-os com um olhar crítico. Que tipo de ""cidadão global"" eles parecem querer formar? Quais valores são enfatizados e quais são omitidos?"
"Peterson, Jordan B.",12 Regras para a Vida: Um Antídoto para o Caos,"O livro explora, de uma perspetiva psicológica e simbólica, a luta humana fundamental entre a ordem e o caos."
São Tomás de Aquino,"Suma Teológica (Primeira Parte, Questão 2, Artigo 3)","Contém as famosas ""Cinco Vias"", os argumentos racionais para a existência de Deus, incluindo a Terceira Via sobre a contingência e o ser necessário."
"Schroeder, Gerald",A Melodia Silenciosa: E a Ciência Revela a Mente de Deus,"Escrito por um físico e teólogo, o livro explora as incríveis ""coincidências"" das leis da física que permitiram o surgimento da vida..."
"Aquino, Prof. Felipe",Quem é Deus?,"Um livro que compila de forma clara e acessível os argumentos de grandes pensadores sobre a existência de Deus, conectando a ordem do universo com a necessidade de um Ordenador."
"Aquino, Prof. Felipe",Quem é Deus?,"Um livro que compila de forma clara e acessível os argumentos de grandes pensadores sobre a existência de Deus, servindo como um excelente guia."
"Schroeder, Gerald L.",A Ciência de Deus,"Escrito por um físico e teólogo, o livro explora como as descobertas da física moderna (como o Big Bang) são perfeitamente compatíveis com a noção de um Criador."
"Lewis, C.S.",A Abolição do Homem,Um livro curto e profético que argumenta que a rejeição da lei natural objetiva (o que ele chama de Tao) levará à destruição da própria humanidade.
"Strauss, Leo",Direito Natural e História,"Uma obra filosófica densa, mas fundamental, que traça a história do conceito de direito natural desde os gregos até à modernidade."
"Peterson, Jordan B.",12 Regras para a Vida: Um Antídoto para o Caos,"A primeira regra, ""Endireite as costas e arrume o seu quarto"", é a expressão perfeita da filosofia da Ordem Intencional."
"Kempis, Tomás de",Imitação de Cristo,"Um clássico da espiritualidade que é, na sua essência, um manual prático sobre como aplicar a Ordem Intencional em cada pensamento e ação para se conformar à vontade de Deus."
Santo Agostinho,Confissões,"A obra é a autobiografia de uma alma a percorrer este circuito: a admiração pela ordem da criação, a rebelião através do pecado e, finalmente, o regresso à Fonte de toda a ordem através da graça."
"Alighieri, Dante",A Divina Comédia,"O poema inteiro é uma viagem através deste circuito, do caos do Inferno à ordem purificadora do Purgatório e, finalmente, à visão da Ordem Divina perfeita no Paraíso..."
"Peterson, Jordan B.",12 Regras para a Vida: Um Antídoto para o Caos,"A leitura do livro é fundamental. Cada capítulo é uma meditação profunda sobre uma das regras, conectando psicologia, mitologia, religião e experiência clínica."
"Clear, James",Hábitos Atômicos,"Um guia prático sobre como construir pequenos hábitos que, somados, geram uma transformação massiva, complementando perfeitamente a filosofia por trás das regras."
"Cuddy, Amy",O Poder da Presença,"Uma psicóloga social que expande a ideia de Peterson, mostrando, com base em estudos, como a nossa ""linguagem corporal molda quem somos""."
"Covey, Stephen R.",Os 7 Hábitos das Pessoas Altamente Eficazes,"O Hábito 7, ""Afine o Instrumento"", é uma excelente exploração prática desta regra, focando na renovação das dimensões física, mental, social/emocional e espiritual."
"Kempis, Tomás de",Imitação de Cristo,"A espiritualidade clássica ensina que o corpo não é uma prisão a ser desprezada, mas um templo a ser cuidado para o serviço de Deus."
Aristóteles,Ética a Nicômaco,"A sua discussão sobre os diferentes tipos de amizade (por utilidade, por prazer e por virtude) é a base filosófica para esta regra."
"Lewis, C.S.",As Quatro Amores,"Uma exploração profunda da natureza da Afeição, da Amizade (Philia), do Amor Romântico (Eros) e da Caridade (Ágape)."
"Aurélio, Marco",Meditações,"O imperador estóico constantemente se autoexamina, não para se comparar com outros Césares, mas para avaliar se agiu de acordo com os seus próprios princípios e se foi melhor do que no dia anterior."
"Manson, Mark",A Sutil Arte de Ligar o F*da-se,"Embora com uma linguagem vulgar, o livro é um poderoso manifesto contra a cultura da comparação e a busca por validação externa, focando em encontrar os seus próprios valores."
"Isaacs, David",Educar na Verdade,"Um guia prático sobre como educar os filhos nas virtudes humanas, oferecendo uma alternativa sólida à permissividade moderna."
"Bennett, Art; Bennett, Laraine",O Temperamento que Deus lhe Deu,Um livro que ajuda os pais a entenderem o temperamento natural dos seus filhos (...) para os disciplinar de forma mais eficaz e amorosa.
Santo Agostinho,Confissões,A obra é um exercício monumental desta regra. Agostinho só se torna capaz de criticar as falhas do Império Romano e das heresias após um exame brutalmente honesto da desordem da sua própria alma.
"Niebuhr, Reinhold",Oração da Serenidade,"Concedei-me a serenidade para aceitar as coisas que não posso modificar, a coragem para modificar as que posso, e a sabedoria para distinguir uma da outra. Esta regra é sobre focar naquilo que podemos modificar."
"Frankl, Viktor",Em Busca de Sentido,"Um psiquiatra que sobreviveu a Auschwitz, Frankl argumenta que a principal força motriz do ser humano não é o prazer, mas a busca por um sentido para a sua vida..."
"Dostoiévski, Fiódor",Os Irmãos Karamazov,"A personagem de Aliocha encarna esta regra, escolhendo o caminho do sacrifício e do amor ao próximo, em contraste com os seus irmãos..."
"Orwell, George",1984,"A obra mostra como um regime totalitário usa a mentira sistemática (""Guerra é Paz, Liberdade é Escravidão"") para corromper a percepção da realidade e controlar a população."
Santo Agostinho,Confissões,"A jornada de Agostinho é, em grande parte, uma luta para abandonar as falsidades da sua juventude e alinhar a sua vida com a Verdade última, que ele identifica como o próprio Deus."
Platão,Diálogos,"Observe o método socrático em ação. Sócrates raramente afirma algo; ele faz perguntas, presumindo a ignorância, para guiar os seus interlocutores à verdade."
"Carnegie, Dale",Como Fazer Amigos e Influenciar Pessoas,"Um clássico que, na sua essência, ensina que a forma mais eficaz de se conectar com os outros é demonstrar um interesse genuíno em ouvi-los e em aprender com eles."
Irmã Miriam Joseph,"O Trivium: As Artes Liberais da Lógica, Gramática e Retórica","A gramática e a lógica, como apresentadas neste livro, são o treinamento fundamental para a precisão do pensamento e da fala."
"Orwell, George",Política e a Língua Inglesa (ensaio),Um texto demolidor que mostra como a linguagem imprecisa e o jargão político são usados deliberadamente para obscurecer a verdade e manipular o pensamento.
"Taleb, Nassim Nicholas",Antifrágil: Coisas que se Beneficiam com o Caos,"O livro inteiro é uma defesa da ideia de que os sistemas (incluindo os seres humanos) se fortalecem quando são expostos a estressores e à volatilidade, e não quando são superprotegidos."
"Pinker, Steven",A Tábua Rasa,"Pinker argumenta, com base na biologia evolutiva, que a aversão ao risco da parentalidade moderna ignora a necessidade inata das crianças de explorar e de se testar contra o mundo."
"Tanizaki, Jun'ichirō",O Elogio da Sombra,"Um ensaio clássico da literatura japonesa que nos ensina a encontrar a beleza não no espetacular, mas nas pequenas coisas, nas texturas, nas sombras e na pátina do tempo."
Boécio,A Consolação da Filosofia,"Escrito na prisão enquanto aguardava a sua execução, o livro é uma meditação profunda sobre como encontrar a verdadeira felicidade e a beleza não nas circunstâncias externas..."
"Carvalho, Olavo de",A Alma Imoral,"Embora não seja um livro exclusivamente sobre as 12 camadas, explora a distinção entre a personalidade (mutável) e a alma (permanente), fundamental para entender o modelo."
"Pirandello, Luigi","Um, Nenhum e Cem Mil",Uma obra de ficção que ilustra de forma genial a fragmentação da identidade e a tirania das máscaras sociais e da imagem que os outros têm de nós.
"Carvalho, Olavo de",A Mente e Outros Estupros da Razão,Coletânea de artigos que introduz muitas das ferramentas filosóficas necessárias para a autoanálise proposta no modelo das 12 camadas.
"Voegelin, Eric",Ordem e História,"Embora complexo, ajuda a entender a busca humana por ordem na própria alma como um reflexo da ordem do cosmos, um princípio que ecoa na jornada pelas 12 camadas."
"Goffman, Erving",A Apresentação do Eu na Vida de Todos os Dias,"Obra clássica da sociologia que explora como as pessoas gerem as suas personas e papéis sociais, usando o teatro como metáfora para a interação humana."
"Campbell, Joseph",O Herói de Mil Faces,"Analisa os arquétipos e papéis que as personagens desempenham nas mitologias, o que pode ajudar a compreender os ""guiões"" que seguimos."
"Girard, René",Mentira Romântica e Verdade Romanesca,"Analisa o ""desejo mimético"", a ideia de que desejamos coisas não por seu valor intrínseco, mas porque os outros as desejam, um motor fundamental da Camada 2."
"Han, Byung-Chul",Sociedade do Cansaço,"Descreve como o sujeito de desempenho moderno se autoexplora em busca de sucesso e validação, tornando-se prisioneiro da sua própria imagem."
"Voegelin, Eric",A Nova Ciência da Política,"Faz um diagnóstico brilhante das ideologias modernas como ""religiões políticas"" ou heresias gnósticas que prometem a salvação na Terra através da ação política."
"Ortega y Gasset, José",A Rebelião das Massas,"Descreve o ""homem-massa"" como alguém que se sente no direito de ter opiniões sobre tudo sem o dever de ter estudado nada, um precursor do Homem-Ideológico."
São Tomás de Aquino,Suma Teológica,A discussão sobre os talentos e dons (carismas) pode ser lida como uma base teológica para a ideia de que cada indivíduo tem uma contribuição única e divinamente inspirada para dar ao mundo.
"Greene, Robert",Maestria,Um estudo sobre como génios da história (...) alcançaram a excelência ao se conectarem profundamente com as suas inclinações naturais e se dedicarem a elas com disciplina obsessiva.
"Hock, Conrad",Os Quatro Temperamentos,"Um guia clássico e acessível que descreve as características, virtudes e defeitos de cada um dos quatro temperamentos a partir de uma perspetiva católica."
"Peterson, Jordan B.",12 Regras Para a Vida,A ênfase na biologia e na neurociência como fundamentos da personalidade humana ecoa a importância de compreender e aceitar a Camada 5.
"Jung, Carl Gustav",O Homem e seus Símbolos,"Uma excelente introdução ao conceito de ""complexos"", que são funcionalmente idênticos às subpersonalidades de Olavo de Carvalho."
"Assagioli, Roberto",Psicossíntese,O fundador da Psicossíntese desenvolveu técnicas específicas para identificar e harmonizar as diferentes subpersonalidades dentro da psique.
"DaMatta, Roberto","O que faz o brasil, Brasil?","Uma análise antropológica sobre a mentalidade do ""jeitinho"" e a dificuldade de se criar uma esfera pública baseada em regras universais, em vez de lealdades pessoais."
"Freyre, Gilberto",Casa-Grande & Senzala,"Para entender as raízes históricas de um Brasil onde as relações pessoais e familiares se sobrepõem à lei impessoal, o berço da cidadania da Camada 7."
"Bastiat, Frédéric",A Lei,"Uma obra curta e demolidora que explica como o Estado, criado para proteger a vida, a liberdade e a propriedade, se perverte e se torna o principal violador desses direitos."
PESQUISA,Biografia de empresários brasileiros de sucesso (que não se renderam a esquemas com o governo),A sua história é o testemunho da Camada 8.
"Souza, Otávio Tarquino de",História dos Fundadores do Império no Brasil,Uma coleção essencial de biografias que revela o caráter e a visão de nação dos homens que construíram um Brasil que deu certo.
PESQUISA,"Raphael Tonon, O Império do Brasil (no YouTube)","Para entender a estabilidade, a prosperidade e os princípios que regeram o Brasil durante a Monarquia, em contraste com a desordem republicana."
PESQUISA,Questões sobre a história ensinada nas escolas,Por que a história ensinada nas escolas brasileiras parece tão focada em culpas (...) e tão pouco em motivos de orgulho (...)?
PESQUISA,Reflexão sobre a memória cívica,Pense no nome de uma rua ou praça na sua cidade que homenageia um político recente. Agora pense num grande herói do Império. Qual deles você conhece melhor?
PESQUISA,Reflexão sobre o resgate histórico,Como o resgate da verdadeira história pode nos dar força e estratégia para combater a decadência atual?
"Chesterton, G. K.",Ortodoxia,"Um livro que mostra como a doutrina cristã não é uma camisa de forças, mas a única chave que destranca os paradoxos da existência e fornece um fundamento sólido para a razão e a moral."
Santo Agostinho,A Cidade de Deus,A obra definitiva sobre a história humana como o palco da luta entre a Cidade dos Homens (guiada pelo amor-próprio...) e a Cidade de Deus (guiada pelo amor a Deus).
"Peterson, Jordan B.",12 Regras Para a Vida,"Um chamado moderno à responsabilidade individual como antídoto para o caos pessoal e social. A Regra 1, ""Costas direitas, ombros para trás"", é a postura física daquele que assume uma vocação profética."
PESQUISA,Biografia de figuras como o Barão de Mauá,Um exemplo de empreendedor que lutou para modernizar o Brasil contra a resistência de uma elite política retrógrada e de um Estado hostil à iniciativa privada.
"Kempis, Tomás de",A Imitação de Cristo,"Particularmente o Livro I, que ensina a desprezar as vaidades do mundo e a ordenar toda a vida em preparação para o dia da morte e do juízo."
"Sheed, Frank",Teologia e Sanidade,"Um livro que argumenta que a sanidade consiste em ver a realidade como ela é, e a realidade última é Deus e o nosso destino eterno. A loucura é viver como se Deus não existisse."
"Peterson, Jordan B.",12 Regras Para a Vida: Um Antídoto Para o Caos,"A obra central que inspira esta jornada, combinando psicologia, mitologia, religião e neurociência para extrair regras de vida atemporais."
"Scruton, Roger",Beleza,"Scruton argumenta que a busca pela beleza é uma forma de encontrar ordem e sentido num mundo profanado, um princípio que se alinha à busca por uma vida ordenada."
"Cuddy, Amy",O Poder da Presença,"Pesquisa científica que prova como posturas de poder alteram a sua química cerebral em minutos, tornando-o literalmente mais confiante e menos reativo ao stress."
PESQUISA,"Iconografia dos heróis do Império (D. Pedro II, Duque de Caxias)","Observe as estátuas e pinturas (...). A sua postura ereta não é um acidente, mas a representação da virtude, da firmeza e do senso de dever."
São Bento,A Regra de São Bento,"Um manual milenar sobre como estruturar a vida com disciplina (oração, trabalho, estudo) para o bem da alma, tratando a si mesmo como um servo de Deus..."
"Frankl, Viktor",Em Busca de Sentido,"Mostra como, mesmo nas piores condições, assumir a responsabilidade pela própria atitude e encontrar um propósito é o que nos mantém humanos e nos permite sobreviver."
Aristóteles,Ética a Nicômaco (Livros VIII e IX),"A análise clássica sobre os três tipos de amizade (utilidade, prazer e virtude). Apenas a amizade baseada na virtude (...) é a que verdadeiramente nos eleva."
PESQUISA,"A Bíblia, Livro dos Provérbios (ex: 13:20)","Quem anda com os sábios será sábio, mas o companheiro dos tolos sofrerá o mal. Um aviso milenar sobre o poder determinante do nosso círculo social."
Santo Agostinho,As Confissões,"É a autobiografia de um homem que se compara constantemente não com os seus pares, mas com o ideal de santidade que ele foi chamado a ser..."
"Lewis, C.S.",Cristianismo Puro e Simples,A análise de Lewis sobre o orgulho como o maior dos pecados mostra como a comparação e a competição (...) estão na raiz de toda a miséria espiritual.
"Rosemond, John",Parenting by The Book,"Um psicólogo que defende métodos de educação tradicionais, baseados na autoridade e na responsabilidade, em oposição direta às teorias permissivas modernas."
PESQUISA,"A Bíblia, Livro dos Provérbios (ex: 22:6)","Ensina a criança no caminho em que deve andar, e, ainda quando for velho, não se desviará dele. A sabedoria milenar sobre a importância da formação do caráter na infância."
PESQUISA,Oração de São Francisco de Assis,"Senhor, fazei-me instrumento de vossa paz. Onde houver ódio, que eu leve o amor.... É um guia para a ação no mundo que começa com a transformação de si mesmo."
"Carvalho, Olavo de",O Mínimo que Você Precisa Saber para Não Ser um Idiota,"A obra inteira é um chamado para que o leitor ""arrume a sua casa"" intelectual, adquirindo a cultura e as ferramentas de pensamento necessárias antes de emitir opiniões sobre o mundo."
"Frankl, Viktor",Em Busca de Sentido,"Frankl (...) argumenta que a força primária do ser humano não é a busca pelo prazer, mas a busca por um significado para a sua vida, mesmo (e especialmente) no meio do sofrimento."
"Dostoiévski, Fiódor",Os Irmãos Karamázov,A lenda do Grande Inquisidor é uma meditação profunda sobre a troca da liberdade e do significado (o fardo de Cristo) pela segurança e conveniência (o pão oferecido pelo demónio).
"Solzhenitsyn, Aleksandr",O Arquipélago Gulag,"(...) Solzhenitsyn conclui que a fonte da tirania soviética foi a acumulação de pequenas mentiras no quotidiano das pessoas. O seu ensaio ""Não Vivam pela Mentira"" é um manifesto para esta regra."
São Tomás de Aquino,Suma Teológica,"Discute a mentira como um ato intrinsecamente mau, pois viola a própria finalidade da linguagem, que é comunicar a verdade que está na mente."
Platão,Diálogos,"Observe o método socrático. Sócrates raramente afirma; ele faz perguntas, partindo de uma posição de ignorância assumida, para guiar os seus interlocutores (e a si mesmo) em direção à verdade."
"Carnegie, Dale",Como Fazer Amigos e Influenciar Pessoas,"Embora seja um livro sobre relações humanas, o seu princípio central é que a forma mais eficaz de se conectar com os outros (e aprender com eles) é demonstrar um interesse genuíno em ouvi-los."
"Jung, Carl Gustav",Tipos Psicológicos,"A obra de Jung é um exercício monumental de precisão linguística para descrever as diferentes funções e atitudes da psique, dando nomes e contornos ao que antes era vago."
"Orwell, George",A Política e a Língua Inglesa,Um ensaio clássico que demonstra como a linguagem imprecisa e o jargão político são usados para obscurecer a verdade e manipular o pensamento. A clareza na fala é uma arma política.
"Taleb, Nassim Nicholas",Antifrágil: Coisas que se Beneficiam com o Caos,"Taleb argumenta que os sistemas (incluindo os seres humanos) não apenas sobrevivem ao stress e ao risco, mas precisam deles para se fortalecerem e crescerem. A superproteção cria fragilidade."
PESQUISA,Biografia dos Bandeirantes,"Homens que personificaram o confronto com o risco. Eles não tinham ""espaços seguros""; eles criaram uma nação ao aventurar-se no desconhecido..."
PESQUISA,"Documentário Roger Scruton, Beleza (Vimeo)","Uma defesa filosófica da beleza como uma necessidade humana fundamental, uma forma de nos sentirmos em casa no mundo e uma janela para o sagrado."
"Chesterton, G. K.",Ortodoxia,"Chesterton era um mestre em encontrar o maravilhoso no banal. A sua obra ensina a olhar para o mundo com os olhos de uma criança, vendo a magia e o milagre em coisas que a rotina nos fez esquecer."
PESQUISA,Relatos da Operação Lava Jato,"Um estudo de caso monumental sobre como a ausência de accountability individual, do empresário ao político, pode destruir uma nação."
"Tocqueville, Alexis de",A Democracia na América,"Para entender como uma sociedade próspera se constrói não a partir de um Estado central, mas de uma infinidade de associações locais e de um forte senso de responsabilidade cívica individual."
PESQUISA,Disciplina horária dos mosteiros beneditinos (Ora et Labora),"Um exemplo de como a estruturação rigorosa do tempo não visa a produtividade, mas a ordenação da alma e o serviço a Deus."
PESQUISA,Biografias de grandes militares (ex: Duque de Caxias),"A disciplina militar é inconcebível sem uma reverência absoluta pela pontualidade, entendida como um pilar da confiança e da ordem."
PESQUISA,Importância do juramento na cavalaria medieval,O código de honra de um cavaleiro era inteiramente baseado na santidade da sua palavra. A sua promessa era mais valiosa que a sua vida.
"Tolkien, J. R. R.",O Senhor dos Anéis,"A obra é permeada pela seriedade dos juramentos e promessas. Personagens como Aragorn e Frodo são definidos pela sua fidelidade à palavra dada, mesmo a um custo imenso."
"Baskerville, Stephen K.",The New Politics of Sex,Uma análise de como o feminismo e o Estado moderno colaboraram para minar a família tradicional e a autoridade masculina.
PESQUISA,"História dos Santos da Igreja (ex: São Jorge, São Miguel Arcanjo)",Arquétipos da masculinidade combativa a serviço de Deus e da proteção dos inocentes.
"Abib, Monsenhor Jonas","Sim Sim, Não Não",Um livro que desmascara o relativismo moral como a grande tentação moderna e chama a uma vida de adesão clara e inequívoca à verdade de Cristo.
"Lewis, C.S.",A Abolição do Homem,"Uma defesa filosófica da existência de uma lei moral objetiva e universal (o ""Tao""), que é a base de todas as civilizações e que o modernismo tenta abolir."
Papa São João Paulo II,Teologia do Corpo,"Uma catequese profunda sobre o amor humano como um dom de si, em oposição à visão utilitarista do outro como um objeto para o prazer."
PESQUISA,"A Bíblia, Primeira Carta de São Paulo aos Coríntios, Capítulo 13","A descrição definitiva do amor como paciente, bondoso, que não busca os próprios interesses, que tudo suporta — a essência do amor sacrificial."
"Carr, Nicholas",A Geração Superficial: O que a Internet Está Fazendo com Nossos Cérebros,Uma análise fundamental sobre como a tecnologia digital está reconfigurando nossa capacidade de concentração e pensamento profundo.
"Han, Byung-Chul",No Enxame: Perspectivas do Digital,"Uma crítica filosófica sobre como a comunicação digital nos transforma em uma sociedade da indignação e do narcisismo, destruindo o respeito e a reflexão."
"Goleman, Daniel",Foco: A Chave para a Excelência,"Uma exploração, baseada na neurociência, dos três tipos de foco (interno, no outro e externo) e de como nossa capacidade de atenção é o bem mais valioso e ameaçado que possuímos."
"Kempis, Tomás de",A Imitação de Cristo,"Muitos de seus conselhos são, na essência, um guia para ordenar os pensamentos, afastando as distrações do mundo para focar a alma em Deus."
"Adler, Mortimer","Como Falar, Como Ouvir",Um guia prático sobre a aplicação da lógica e da retórica na comunicação cotidiana.
Aristóteles,Retórica e Órganon,"As obras fundadoras da lógica e da retórica no Ocidente. Embora densas, são a fonte original de onde brota todo este conhecimento."
Platão,Fédon e Górgias,"Nestes diálogos, Platão contrasta a retórica dos sofistas (que buscam a persuasão a qualquer custo) com a dialética do filósofo (que usa a palavra para buscar a verdade)."
Quintiliano,Institutos de Oratória,"O manual mais completo da antiguidade sobre a formação do orador perfeito, que, para ele, deveria ser um ""homem de bem, perito na arte de falar""."
